Gift Card No,Customer Name,User ID,Value,Expiry Date
CUS00001,CUS00001,,,
CUS00002,CUS00002,,,
CUS00003,CUS00003,,,
CUS00004,CUS00004,,,
CUS00005,CUS00005,,,
CUS00006,CUS00006,,,
CUS00007,CUS00007,,,
CUS00008,CUS00008,,,
CUS00009,CUS00009,,,
CUS00010,CUS00010,,,
CUS00011,CUS00011,,,
CUS00012,CUS00012,,,
CUS00013,CUS00013,,,
CUS00014,CUS00014,,,
CUS00015,CUS00015,,,
CUS00016,CUS00016,,,
CUS00017,CUS00017,,,
CUS00018,CUS00018,,,
CUS00019,CUS00019,,,
CUS00020,CUS00020,,,
CUS00021,CUS00021,,,
CUS00022,CUS00022,,,
CUS00023,CUS00023,,,
CUS00024,CUS00024,,,
CUS00025,CUS00025,,,
CUS00026,CUS00026,,,
CUS00027,CUS00027,,,
CUS00028,CUS00028,,,
CUS00029,CUS00029,,,
CUS00030,CUS00030,,,
CUS00031,CUS00031,,,
CUS00032,CUS00032,,,
CUS00033,CUS00033,,,
CUS00034,CUS00034,,,
CUS00035,CUS00035,,,
CUS00036,CUS00036,,,
CUS00037,CUS00037,,,
CUS00038,CUS00038,,,
CUS00039,CUS00039,,,
CUS00040,CUS00040,,,
CUS00041,CUS00041,,,
CUS00042,CUS00042,,,
CUS00043,CUS00043,,,
CUS00044,CUS00044,,,
CUS00045,CUS00045,,,
CUS00046,CUS00046,,,
CUS00047,CUS00047,,,
CUS00048,CUS00048,,,
CUS00049,CUS00049,,,
CUS00050,CUS00050,,,
CUS00051,CUS00051,,,
CUS00052,CUS00052,,,
CUS00053,CUS00053,,,
CUS00054,CUS00054,,,
CUS00055,CUS00055,,,
CUS00056,CUS00056,,,
CUS00057,CUS00057,,,
CUS00058,CUS00058,,,
CUS00059,CUS00059,,,
CUS00060,CUS00060,,,
CUS00061,CUS00061,,,
CUS00062,CUS00062,,,
CUS00063,CUS00063,,,
CUS00064,CUS00064,,,
CUS00065,CUS00065,,,
CUS00066,CUS00066,,,
CUS00067,CUS00067,,,
CUS00068,CUS00068,,,
CUS00069,CUS00069,,,
CUS00070,CUS00070,,,
CUS00071,CUS00071,,,
CUS00072,CUS00072,,,
CUS00073,CUS00073,,,
CUS00074,CUS00074,,,
CUS00075,CUS00075,,,
CUS00076,CUS00076,,,
CUS00077,CUS00077,,,
CUS00078,CUS00078,,,
CUS00079,CUS00079,,,
CUS00080,CUS00080,,,
CUS00081,CUS00081,,,
CUS00082,CUS00082,,,
CUS00083,CUS00083,,,
CUS00084,CUS00084,,,
CUS00085,CUS00085,,,
CUS00086,CUS00086,,,
CUS00087,CUS00087,,,
CUS00088,CUS00088,,,
CUS00089,CUS00089,,,
CUS00090,CUS00090,,,
CUS00091,CUS00091,,,
CUS00092,CUS00092,,,
CUS00093,CUS00093,,,
CUS00094,CUS00094,,,
CUS00095,CUS00095,,,
CUS00096,CUS00096,,,
CUS00097,CUS00097,,,
CUS00098,CUS00098,,,
CUS00099,CUS00099,,,
CUS00100,CUS00100,,,
CUS00101,CUS00101,,,
CUS00102,CUS00102,,,
CUS00103,CUS00103,,,
CUS00104,CUS00104,,,
CUS00105,CUS00105,,,
CUS00106,CUS00106,,,
CUS00107,CUS00107,,,
CUS00108,CUS00108,,,
CUS00109,CUS00109,,,
CUS00110,CUS00110,,,
CUS00111,CUS00111,,,
CUS00112,CUS00112,,,
CUS00113,CUS00113,,,
CUS00114,CUS00114,,,
CUS00115,CUS00115,,,
CUS00116,CUS00116,,,
CUS00117,CUS00117,,,
CUS00118,CUS00118,,,
CUS00119,CUS00119,,,
CUS00120,CUS00120,,,
CUS00121,CUS00121,,,
CUS00122,CUS00122,,,
CUS00123,CUS00123,,,
CUS00124,CUS00124,,,
CUS00125,CUS00125,,,
CUS00126,CUS00126,,,
CUS00127,CUS00127,,,
CUS00128,CUS00128,,,
CUS00129,CUS00129,,,
CUS00130,CUS00130,,,
CUS00131,CUS00131,,,
CUS00132,CUS00132,,,
CUS00133,CUS00133,,,
CUS00134,CUS00134,,,
CUS00135,CUS00135,,,
CUS00136,CUS00136,,,
CUS00137,CUS00137,,,
CUS00138,CUS00138,,,
CUS00139,CUS00139,,,
CUS00140,CUS00140,,,
CUS00141,CUS00141,,,
CUS00142,CUS00142,,,
CUS00143,CUS00143,,,
CUS00144,CUS00144,,,
CUS00145,CUS00145,,,
CUS00146,CUS00146,,,
CUS00147,CUS00147,,,
