Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
BG001997,6,10,WH1,2,,,,received,,pending,,,
BGBR70911,4.5,10,WH1,2,,,,received,,pending,,,
BGBE70911,4.5,10,WH1,2,,,,received,,pending,,,
BGBB70911,4.5,10,WH1,2,,,,received,,pending,,,
BG00C2785,7.3,10,WH1,2,,,,received,,pending,,,
BG001999,5.6,20,WH1,2,,,,received,,pending,,,
BGBR1998,4.9,10,WH1,2,,,,received,,pending,,,
BGGG1998,4.9,10,WH1,2,,,,received,,pending,,,
BGBB1998,4.9,10,WH1,2,,,,received,,pending,,,
BG001996,8.3,10,WH1,2,,,,received,,pending,,,
BG0B889,7.3,10,WH1,2,,,,received,,pending,,,
BGBB889,7.3,10,WH1,2,,,,received,,pending,,,
BG008146S,6,5,WH1,2,,,,received,,pending,,,
BG008146B,6.3,15,WH1,2,,,,received,,pending,,,
