Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY008295,6,10,WH1,6,,,,received,,,,,
CD008049,8.6,7,WH1,6,,,,received,,,,,
SY0B6602,5.9,10,WH1,6,,,,received,,,,,
SYDB6602,5.9,5,WH1,6,,,,received,,,,,
SY000888,7.3,10,WH1,6,,,,received,,,,,
CD000881,8,6,WH1,6,,,,received,,,,,
SY00265,8.3,6,WH1,6,,,,received,,,,,
SY0080910,6.6,10,WH1,6,,,,received,,,,,
SY0B4017,7.3,5,WH1,6,,,,received,,,,,
SY0W4017,7.3,5,WH1,6,,,,received,,,,,
