Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY00388,5.7,10,WH1,2,,,,received,,PAID,,,
SY0P382,5,10,WH1,2,,,,received,,PAID,,,
SY0B382,5,10,WH1,2,,,,received,,PAID,,,
SY00389,5.7,15,WH1,2,,,,received,,PAID,,,
SY0G391,7.5,5,WH1,2,,,,received,,PAID,,,
SY0W391,7.5,10,WH1,2,,,,received,,PAID,,,
SY0C390,6.6,10,WH1,2,,,,received,,PAID,,,
SY0B390,6.6,10,WH1,2,,,,received,,PAID,,,
SY0Y392,3.9,12,WH1,2,,,,received,,PAID,,,
SY0B392,3.9,13,WH1,2,,,,received,,PAID,,,
SY0P392,3.9,10,WH1,2,,,,received,,PAID,,,
