Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0G1141,8.3,5,WH1,6,,,,received,,,,,
SY0B1141,8.3,5,WH1,6,,,,received,,,,,
DO004171,8.5,5,WH1,6,,,,received,,,,,
CD005548,6.8,10,WH1,6,,,,received,,,,,
SK0G5559,6.4,5,WH1,6,,,,received,,,,,
SK0C5559,6.4,5,WH1,6,,,,received,,,,,
SK009330,7.8,5,WH1,6,,,,received,,,,,
SK005397,6.7,8,WH1,6,,,,received,,,,,
SY001846,7,10,WH1,6,,,,received,,,,,
SY0B6209,6.7,5,WH1,6,,,,received,,,,,
SYBR6209,6.7,5,WH1,6,,,,received,,,,,
SYBB6209,6.7,5,WH1,6,,,,received,,,,,
SY0P6209,6.7,5,WH1,6,,,,received,,,,,
CD009107,7.8,5,WH1,6,,,,received,,,,,
LP004410,4.4,10,WH1,6,,,,received,,,,,
CD005329,9,10,WH1,6,,,,received,,,,,
