Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SS004425,8.2,10,WH1,2,,,,received,,pending,,,
CD009340,6.6,10,WH1,2,,,,received,,pending,,,
SY001323,5.9,15,WH1,2,,,,received,,pending,,,
SS004665,8,10,WH1,2,,,,received,,pending,,,
SY0W3303,5.9,5,WH1,2,,,,received,,pending,,,
SY0Y3303,5.9,5,WH1,2,,,,received,,pending,,,
CD009928,8,15,WH1,2,,,,received,,pending,,,
SY001451,5.2,15,WH1,2,,,,received,,pending,,,
SY001756,5.9,10,WH1,2,,,,received,,pending,,,
SJ004421,5.9,20,WH1,2,,,,received,,pending,,,
SK009412,6.6,10,WH1,2,,,,received,,pending,,,
SY000032,4.8,15,WH1,2,,,,received,,pending,,,
CD009853,10.2,5,WH1,2,,,,received,,pending,,,
