Gift Card No,Customer Name,User ID,Value,Expiry Date
 CUS/00501, CUS/00501,,,
 CUS/00502, CUS/00502,,,
 CUS/00503, CUS/00503,,,
 CUS/00504, CUS/00504,,,
 CUS/00505, CUS/00505,,,
 CUS/00506, CUS/00506,,,
 CUS/00507, CUS/00507,,,
 CUS/00508, CUS/00508,,,
 CUS/00509, CUS/00509,,,
 CUS/00510, CUS/00510,,,
 CUS/00511, CUS/00511,,,
 CUS/00512, CUS/00512,,,
 CUS/00513, CUS/00513,,,
 CUS/00514, CUS/00514,,,
 CUS/00515, CUS/00515,,,
 CUS/00516, CUS/00516,,,
 CUS/00517, CUS/00517,,,
 CUS/00518, CUS/00518,,,
 CUS/00519, CUS/00519,,,
 CUS/00520, CUS/00520,,,
 CUS/00521, CUS/00521,,,
 CUS/00522, CUS/00522,,,
 CUS/00523, CUS/00523,,,
 CUS/00524, CUS/00524,,,
 CUS/00525, CUS/00525,,,
 CUS/00526, CUS/00526,,,
 CUS/00527, CUS/00527,,,
 CUS/00528, CUS/00528,,,
 CUS/00529, CUS/00529,,,
 CUS/00530, CUS/00530,,,
 CUS/00531, CUS/00531,,,
 CUS/00532, CUS/00532,,,
 CUS/00533, CUS/00533,,,
 CUS/00534, CUS/00534,,,
 CUS/00535, CUS/00535,,,
 CUS/00536, CUS/00536,,,
 CUS/00537, CUS/00537,,,
 CUS/00538, CUS/00538,,,
 CUS/00539, CUS/00539,,,
 CUS/00540, CUS/00540,,,
 CUS/00541, CUS/00541,,,
 CUS/00542, CUS/00542,,,
 CUS/00543, CUS/00543,,,
 CUS/00544, CUS/00544,,,
 CUS/00545, CUS/00545,,,
 CUS/00546, CUS/00546,,,
 CUS/00547, CUS/00547,,,
 CUS/00548, CUS/00548,,,
 CUS/00549, CUS/00549,,,
 CUS/00550, CUS/00550,,,
 CUS/00551, CUS/00551,,,
 CUS/00552, CUS/00552,,,
 CUS/00553, CUS/00553,,,
 CUS/00554, CUS/00554,,,
 CUS/00555, CUS/00555,,,
 CUS/00556, CUS/00556,,,
 CUS/00557, CUS/00557,,,
 CUS/00558, CUS/00558,,,
 CUS/00559, CUS/00559,,,
 CUS/00560, CUS/00560,,,
 CUS/00561, CUS/00561,,,
 CUS/00562, CUS/00562,,,
 CUS/00563, CUS/00563,,,
 CUS/00564, CUS/00564,,,
 CUS/00565, CUS/00565,,,
 CUS/00566, CUS/00566,,,
 CUS/00567, CUS/00567,,,
 CUS/00568, CUS/00568,,,
 CUS/00569, CUS/00569,,,
 CUS/00570, CUS/00570,,,
 CUS/00571, CUS/00571,,,
 CUS/00572, CUS/00572,,,
 CUS/00573, CUS/00573,,,
 CUS/00574, CUS/00574,,,
 CUS/00575, CUS/00575,,,
 CUS/00576, CUS/00576,,,
 CUS/00577, CUS/00577,,,
 CUS/00578, CUS/00578,,,
 CUS/00579, CUS/00579,,,
 CUS/00580, CUS/00580,,,
 CUS/00581, CUS/00581,,,
 CUS/00582, CUS/00582,,,
 CUS/00583, CUS/00583,,,
 CUS/00584, CUS/00584,,,
 CUS/00585, CUS/00585,,,
 CUS/00586, CUS/00586,,,
 CUS/00587, CUS/00587,,,
 CUS/00588, CUS/00588,,,
 CUS/00589, CUS/00589,,,
 CUS/00590, CUS/00590,,,
 CUS/00591, CUS/00591,,,
 CUS/00592, CUS/00592,,,
 CUS/00593, CUS/00593,,,
 CUS/00594, CUS/00594,,,
 CUS/00595, CUS/00595,,,
 CUS/00596, CUS/00596,,,
 CUS/00597, CUS/00597,,,
 CUS/00598, CUS/00598,,,
 CUS/00599, CUS/00599,,,
 CUS/00600, CUS/00600,,,
 CUS/00601, CUS/00601,,,
 CUS/00602, CUS/00602,,,
 CUS/00603, CUS/00603,,,
 CUS/00604, CUS/00604,,,
 CUS/00605, CUS/00605,,,
 CUS/00606, CUS/00606,,,
 CUS/00607, CUS/00607,,,
 CUS/00608, CUS/00608,,,
 CUS/00609, CUS/00609,,,
 CUS/00610, CUS/00610,,,
 CUS/00611, CUS/00611,,,
 CUS/00612, CUS/00612,,,
 CUS/00613, CUS/00613,,,
 CUS/00614, CUS/00614,,,
 CUS/00615, CUS/00615,,,
 CUS/00616, CUS/00616,,,
 CUS/00617, CUS/00617,,,
 CUS/00618, CUS/00618,,,
 CUS/00619, CUS/00619,,,
 CUS/00620, CUS/00620,,,
 CUS/00621, CUS/00621,,,
 CUS/00622, CUS/00622,,,
 CUS/00623, CUS/00623,,,
 CUS/00624, CUS/00624,,,
 CUS/00625, CUS/00625,,,
 CUS/00626, CUS/00626,,,
 CUS/00627, CUS/00627,,,
 CUS/00628, CUS/00628,,,
 CUS/00629, CUS/00629,,,
 CUS/00630, CUS/00630,,,
 CUS/00631, CUS/00631,,,
 CUS/00632, CUS/00632,,,
 CUS/00633, CUS/00633,,,
 CUS/00634, CUS/00634,,,
 CUS/00635, CUS/00635,,,
 CUS/00636, CUS/00636,,,
 CUS/00637, CUS/00637,,,
 CUS/00638, CUS/00638,,,
 CUS/00639, CUS/00639,,,
 CUS/00640, CUS/00640,,,
 CUS/00641, CUS/00641,,,
 CUS/00642, CUS/00642,,,
 CUS/00643, CUS/00643,,,
 CUS/00644, CUS/00644,,,
 CUS/00645, CUS/00645,,,
 CUS/00646, CUS/00646,,,
 CUS/00647, CUS/00647,,,
 CUS/00648, CUS/00648,,,
 CUS/00649, CUS/00649,,,
 CUS/00650, CUS/00650,,,
 CUS/00651, CUS/00651,,,
 CUS/00652, CUS/00652,,,
 CUS/00653, CUS/00653,,,
 CUS/00654, CUS/00654,,,
 CUS/00655, CUS/00655,,,
 CUS/00656, CUS/00656,,,
 CUS/00657, CUS/00657,,,
 CUS/00658, CUS/00658,,,
 CUS/00659, CUS/00659,,,
 CUS/00660, CUS/00660,,,
 CUS/00661, CUS/00661,,,
 CUS/00662, CUS/00662,,,
 CUS/00663, CUS/00663,,,
 CUS/00664, CUS/00664,,,
 CUS/00665, CUS/00665,,,
 CUS/00666, CUS/00666,,,
 CUS/00667, CUS/00667,,,
 CUS/00668, CUS/00668,,,
 CUS/00669, CUS/00669,,,
 CUS/00670, CUS/00670,,,
 CUS/00671, CUS/00671,,,
 CUS/00672, CUS/00672,,,
 CUS/00673, CUS/00673,,,
 CUS/00674, CUS/00674,,,
 CUS/00675, CUS/00675,,,
 CUS/00676, CUS/00676,,,
 CUS/00677, CUS/00677,,,
 CUS/00678, CUS/00678,,,
 CUS/00679, CUS/00679,,,
 CUS/00680, CUS/00680,,,
 CUS/00681, CUS/00681,,,
 CUS/00682, CUS/00682,,,
 CUS/00683, CUS/00683,,,
 CUS/00684, CUS/00684,,,
 CUS/00685, CUS/00685,,,
 CUS/00686, CUS/00686,,,
 CUS/00687, CUS/00687,,,
 CUS/00688, CUS/00688,,,
 CUS/00689, CUS/00689,,,
 CUS/00690, CUS/00690,,,
 CUS/00691, CUS/00691,,,
 CUS/00692, CUS/00692,,,
 CUS/00693, CUS/00693,,,
 CUS/00694, CUS/00694,,,
 CUS/00695, CUS/00695,,,
 CUS/00696, CUS/00696,,,
 CUS/00697, CUS/00697,,,
 CUS/00698, CUS/00698,,,
 CUS/00699, CUS/00699,,,
 CUS/00700, CUS/00700,,,
 CUS/00701, CUS/00701,,,
 CUS/00702, CUS/00702,,,
