Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
GU0066532,4,26,WH1,2,,,,received,,,,,
GUZ300,2.7,1,WH1,2,,,,received,,,,,
GU0066386,3.7,14,WH1,2,,,,received,,,,,
GUL6609,2.7,10,WH1,2,,,,received,,,,,
GU005077,2.7,17,WH1,2,,,,received,,,,,
GU009309,2.7,16,WH1,2,,,,received,,,,,
GU005090,2.73,18,WH1,2,,,,received,,,,,
GUL6602,2.7,14,WH1,2,,,,received,,,,,
GU00016,1.95,25,WH1,2,,,,received,,,,,
GUQ688,2.7,18,WH1,2,,,,received,,,,,
GU5509,2.7,12,WH1,2,,,,received,,,,,
GUZ389,2.7,14,WH1,2,,,,received,,,,,
GU006615,2.7,1,WH1,2,,,,received,,,,,
GU00202,3.5,0,WH1,2,,,,received,,,,,
GU00601,1.8,6,WH1,2,,,,received,,,,,
GU00318,3,19,WH1,2,,,,received,,,,,
GU009902,1.8,20,WH1,2,,,,received,,,,,
